Line:		bear_head
-317.0 	 355.0 	 1.0
-302.0 	 357.0 	 1.0
-287.0 	 357.0 	 1.0
-273.0 	 357.0 	 1.0
-255.0 	 354.0 	 1.0
-243.0 	 350.0 	 1.0
-237.0 	 348.0 	 1.0
-229.0 	 344.0 	 1.0
-226.0 	 347.0 	 1.0
-221.0 	 349.0 	 1.0
-213.0 	 349.0 	 1.0
-206.0 	 346.0 	 1.0
-203.0 	 344.0 	 1.0
-200.0 	 340.0 	 1.0
-198.0 	 332.0 	 1.0
-198.0 	 325.0 	 1.0
-202.0 	 320.0 	 1.0
-195.0 	 305.0 	 1.0
-193.0 	 293.0 	 1.0
-193.0 	 280.0 	 1.0
-194.0 	 268.0 	 1.0
-198.0 	 259.0 	 1.0
-201.0 	 253.0 	 1.0
-206.0 	 246.0 	 1.0
-207.0 	 219.0 	 1.0
-209.0 	 217.0 	 1.0
-212.0 	 216.0 	 1.0
-230.0 	 217.0 	 1.0
-234.0 	 220.0 	 1.0
-245.0 	 230.0 	 1.0
-241.0 	 233.0 	 1.0
-241.0 	 249.0 	 1.0
-247.0 	 249.0 	 1.0
-253.0 	 246.0 	 1.0
-256.0 	 240.0 	 1.0
-258.0 	 231.0 	 1.0
-265.0 	 231.0 	 1.0
-269.0 	 233.0 	 1.0
-271.0 	 236.0 	 1.0
-272.0 	 240.0 	 1.0
-275.0 	 247.0 	 1.0
-280.0 	 251.0 	 1.0
-288.0 	 252.0 	 1.0
-301.0 	 246.0 	 1.0
-308.0 	 241.0 	 1.0
-314.0 	 235.0 	 1.0
-317.0 	 233.39 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
37 	 38 	 1.0
38 	 39 	 1.0
39 	 40 	 1.0
40 	 41 	 1.0
41 	 42 	 1.0
42 	 43 	 1.0
43 	 44 	 1.0
44 	 45 	 1.0
45 	 46 	 1.0
46  0   1.0
#
End
