Line:		Circle
150.0 	 0.0 	 1.0
146.72 	 31.19 	 1.0
137.03 	 61.01 	 1.0
121.35 	 88.17 	 1.0
100.37 	 111.47 	 1.0
75.0 	 129.9 	 1.0
46.35 	 142.66 	 1.0
15.68 	 149.18 	 1.0
-15.68 	 149.18 	 1.0
-46.35 	 142.66 	 1.0
-75.0 	 129.9 	 1.0
-100.37 	 111.47 	 1.0
-121.35 	 88.17 	 1.0
-137.03 	 61.01 	 1.0
-146.72 	 31.19 	 1.0
-150.0 	 0.0 	 1.0
-146.72 	 -31.19 	 1.0
-137.03 	 -61.01 	 1.0
-121.35 	 -88.17 	 1.0
-100.37 	 -111.47 	 1.0
-75.0 	 -129.9 	 1.0
-46.35 	 -142.66 	 1.0
-15.68 	 -149.18 	 1.0
15.68 	 -149.18 	 1.0
46.35 	 -142.66 	 1.0
75.0 	 -129.9 	 1.0
100.37 	 -111.47 	 1.0
121.35 	 -88.17 	 1.0
137.03 	 -61.01 	 1.0
146.72 	 -31.19 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 0 	 1.0
#
End
