Line:		cloud
-297.71 	 56.27 	 1.0
-297.71 	 338.89 	 1.0
-291.48 	 360.29 	 1.0
-283.18 	 375.01 	 1.0
-270.88 	 390.13 	 1.0
-257.88 	 400.1 	 1.0
-241.72 	 407.9 	 1.0
-228.54 	 411.44 	 1.0
-217.21 	 412.71 	 1.0
-200.95 	 411.9 	 1.0
-186.58 	 408.47 	 1.0
-171.6 	 401.77 	 1.0
-159.67 	 393.54 	 1.0
-150.71 	 384.97 	 1.0
-141.69 	 372.99 	 1.0
-127.62 	 371.61 	 1.0
-113.3 	 367.31 	 1.0
-103.24 	 363.11 	 1.0
-93.48 	 358.0 	 1.0
-84.34 	 352.15 	 1.0
-74.77 	 344.74 	 1.0
-67.67 	 338.19 	 1.0
-60.34 	 330.23 	 1.0
-53.54 	 321.45 	 1.0
-46.85 	 310.9 	 1.0
-40.56 	 298.19 	 1.0
-36.14 	 286.18 	 1.0
-32.94 	 273.61 	 1.0
-31.29 	 263.1 	 1.0
-30.5 	 251.19 	 1.0
-30.86 	 238.7 	 1.0
-32.32 	 227.02 	 1.0
-34.78 	 215.86 	 1.0
-37.86 	 206.01 	 1.0
-42.66 	 194.46 	 1.0
-48.48 	 183.62 	 1.0
-54.11 	 175.06 	 1.0
-60.89 	 166.43 	 1.0
-68.69 	 158.13 	 1.0
-74.91 	 152.46 	 1.0
-83.45 	 145.78 	 1.0
-83.45 	 134.75 	 1.0
-84.86 	 119.6 	 1.0
-88.24 	 107.21 	 1.0
-92.86 	 96.78 	 1.0
-100.0 	 85.63 	 1.0
-106.27 	 78.33 	 1.0
-112.33 	 72.68 	 1.0
-120.6 	 66.56 	 1.0
-127.4 	 62.62 	 1.0
-135.51 	 58.99 	 1.0
-141.98 	 56.82 	 1.0
-148.14 	 55.29 	 1.0
-153.98 	 53.99 	 1.0
-155.63 	 45.05 	 1.0
-159.03 	 34.82 	 1.0
-163.25 	 26.34 	 1.0
-168.56 	 18.47 	 1.0
-174.56 	 11.66 	 1.0
-184.5 	 3.35 	 1.0
-192.78 	 -1.62 	 1.0
-202.64 	 -5.77 	 1.0
-211.78 	 -8.17 	 1.0
-221.72 	 -9.5 	 1.0
-231.06 	 -9.5 	 1.0
-239.48 	 -8.16 	 1.0
-245.67 	 -6.66 	 1.0
-254.58 	 -3.43 	 1.0
-265.34 	 2.44 	 1.0
-270.84 	 6.46 	 1.0
-277.27 	 12.32 	 1.0
-283.18 	 19.2 	 1.0
-290.14 	 30.41 	 1.0
-294.14 	 38.45 	 1.0
-296.97 	 51.18 	 1.0
-297.71 	 56.27 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
37 	 38 	 1.0
38 	 39 	 1.0
39 	 40 	 1.0
40 	 41 	 1.0
41 	 42 	 1.0
42 	 43 	 1.0
43 	 44 	 1.0
44 	 45 	 1.0
45 	 46 	 1.0
46 	 47 	 1.0
47 	 48 	 1.0
48 	 49 	 1.0
49 	 50 	 1.0
50 	 51 	 1.0
51 	 52 	 1.0
52 	 53 	 1.0
53 	 54 	 1.0
54 	 55 	 1.0
55 	 56 	 1.0
56 	 57 	 1.0
57 	 58 	 1.0
58 	 59 	 1.0
59 	 60 	 1.0
60 	 61 	 1.0
61 	 62 	 1.0
62 	 63 	 1.0
63 	 64 	 1.0
64 	 65 	 1.0
65 	 66 	 1.0
66 	 67 	 1.0
67 	 68 	 1.0
68 	 69 	 1.0
69 	 70 	 1.0
70 	 71 	 1.0
71 	 72 	 1.0
72 	 73 	 1.0
73 	 74 	 1.0
74 	 75 	 1.0
0 	 75 	 1.0
#
End
