Line:		heart
-287.69 	 133.28 	 1.0
-225.92 	 195.96 	 1.0
-213.33 	 208.2 	 1.0
-202.89 	 217.98 	 1.0
-190.49 	 228.99 	 1.0
-178.42 	 238.91 	 1.0
-165.19 	 248.65 	 1.0
-150.46 	 257.78 	 1.0
-137.99 	 263.82 	 1.0
-126.59 	 267.77 	 1.0
-114.43 	 270.14 	 1.0
-103.21 	 270.56 	 1.0
-90.31 	 268.91 	 1.0
-76.38 	 264.45 	 1.0
-65.71 	 258.46 	 1.0
-54.88 	 249.0 	 1.0
-47.86 	 239.88 	 1.0
-42.43 	 229.67 	 1.0
-38.07 	 216.31 	 1.0
-36.25 	 203.47 	 1.0
-36.58 	 190.15 	 1.0
-38.64 	 178.92 	 1.0
-41.77 	 169.44 	 1.0
-46.06 	 160.56 	 1.0
-51.79 	 151.93 	 1.0
-58.15 	 144.75 	 1.0
-64.82 	 138.91 	 1.0
-73.16 	 133.28 	 1.0
-65.23 	 127.99 	 1.0
-58.31 	 122.01 	 1.0
-51.9 	 114.86 	 1.0
-45.75 	 105.63 	 1.0
-40.3 	 93.54 	 1.0
-37.09 	 80.94 	 1.0
-36.0 	 67.86 	 1.0
-36.87 	 56.12 	 1.0
-39.35 	 45.09 	 1.0
-42.56 	 36.45 	 1.0
-47.65 	 26.97 	 1.0
-54.85 	 17.59 	 1.0
-64.08 	 9.29 	 1.0
-76.39 	 2.13 	 1.0
-87.1 	 -1.59 	 1.0
-101.78 	 -3.85 	 1.0
-114.76 	 -4.0 	 1.0
-126.59 	 -1.21 	 1.0
-136.73 	 2.23 	 1.0
-147.03 	 6.96 	 1.0
-159.61 	 14.23 	 1.0
-171.63 	 22.5 	 1.0
-187.3 	 34.87 	 1.0
-215.47 	 60.42 	 1.0
-287.69 	 133.28 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
37 	 38 	 1.0
38 	 39 	 1.0
39 	 40 	 1.0
40 	 41 	 1.0
41 	 42 	 1.0
42 	 43 	 1.0
43 	 44 	 1.0
44 	 45 	 1.0
45 	 46 	 1.0
46 	 47 	 1.0
47 	 48 	 1.0
48 	 49 	 1.0
49 	 50 	 1.0
50 	 51 	 1.0
51 	 52 	 1.0
#
End
