Line:		lisabon-guide
104.67 	 419.0 	 1.0
-74.0 	 419.0 	 1.0
-105.61 	 418.68 	 1.0
-125.56 	 418.9 	 1.0
-142.19 	 417.57 	 1.0
-162.8 	 415.13 	 1.0
-176.55 	 412.25 	 1.0
-193.18 	 408.26 	 1.0
-206.03 	 404.71 	 1.0
-222.66 	 398.73 	 1.0
-239.07 	 391.41 	 1.0
-255.25 	 383.65 	 1.0
-268.55 	 376.34 	 1.0
-288.0 	 363.0 	 1.0
-307.35 	 348.4 	 1.0
-319.98 	 337.1 	 1.0
-333.51 	 323.13 	 1.0
-345.26 	 309.83 	 1.0
-358.12 	 292.98 	 1.0
-371.42 	 272.36 	 1.0
-381.39 	 254.18 	 1.0
-389.6 	 236.45 	 1.0
-395.36 	 222.26 	 1.0
-399.35 	 210.29 	 1.0
-406.0 	 186.12 	 1.0
-410.88 	 157.52 	 1.0
-412.87 	 119.94 	 1.0
-412.87 	 83.0 	 1.0
-412.87 	 -144.53 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
#
End

