Line:		montrealOut
-310.0 	 412.0 	 1.0
-328.0 	 404.0 	 1.0
-339.0 	 392.0 	 1.0
-346.0 	 380.0 	 1.0
-349.0 	 365.0 	 1.0
-347.0 	 350.0 	 1.0
-358.0 	 351.0 	 1.0
-374.0 	 349.0 	 1.0
-390.0 	 341.0 	 1.0
-401.0 	 330.0 	 1.0
-409.0 	 315.0 	 1.0
-411.0 	 297.0 	 1.0
-407.0 	 282.0 	 1.0
-400.0 	 269.0 	 1.0
-391.0 	 261.0 	 1.0
-387.0 	 258.0 	 1.0
-401.0 	 244.0 	 1.0
-407.0 	 231.0 	 1.0
-410.0 	 220.0 	 1.0
-411.0 	 208.0 	 1.0
-408.0 	 195.0 	 1.0
-401.0 	 184.0 	 1.0
-393.0 	 175.0 	 1.0
-382.0 	 168.0 	 1.0
-369.0 	 164.0 	 1.0
-359.0 	 163.0 	 1.0
-347.0 	 164.0 	 1.0
-349.0 	 149.0 	 1.0
-346.0 	 135.0 	 1.0
-340.0 	 124.0 	 1.0
-335.0 	 117.0 	 1.0
-328.0 	 111.0 	 1.0
-321.0 	 106.0 	 1.0
-309.0 	 102.0 	 1.0
-300.0 	 101.0 	 1.0
-291.0 	 101.0 	 1.0
-280.0 	 104.0 	 1.0
-268.0 	 110.0 	 1.0
-260.0 	 117.0 	 1.0
-254.0 	 124.0 	 1.0
-247.0 	 116.0 	 1.0
-238.0 	 108.0 	 1.0
-225.0 	 102.0 	 1.0
-215.0 	 101.0 	 1.0
-202.0 	 101.0 	 1.0
-190.0 	 105.0 	 1.0
-179.0 	 111.0 	 1.0
-170.0 	 120.0 	 1.0
-164.0 	 131.0 	 1.0
-160.0 	 142.0 	 1.0
-160.0 	 155.0 	 1.0
-161.0 	 164.0 	 1.0
-153.0 	 163.0 	 1.0
-139.0 	 163.0 	 1.0
-126.0 	 168.0 	 1.0
-114.0 	 176.0 	 1.0
-106.0 	 186.0 	 1.0
-101.0 	 196.0 	 1.0
-98.0 	 207.0 	 1.0
-98.0 	 222.0 	 1.0
-103.0 	 235.0 	 1.0
-110.0 	 246.0 	 1.0
-117.0 	 253.0 	 1.0
-122.0 	 256.0 	 1.0
-113.0 	 264.0 	 1.0
-104.0 	 276.0 	 1.0
-99.0 	 288.0 	 1.0
-97.0 	 303.0 	 1.0
-100.0 	 316.0 	 1.0
-105.0 	 327.0 	 1.0
-112.0 	 336.0 	 1.0
-120.0 	 343.0 	 1.0
-130.0 	 348.0 	 1.0
-144.0 	 351.0 	 1.0
-154.0 	 351.0 	 1.0
-161.0 	 350.0 	 1.0
-159.0 	 362.0 	 1.0
-161.0 	 376.0 	 1.0
-166.0 	 388.0 	 1.0
-173.0 	 398.0 	 1.0
-182.0 	 405.0 	 1.0
-195.0 	 412.0 	 1.0
-211.0 	 414.0 	 1.0
-226.0 	 411.0 	 1.0
-237.0 	 406.0 	 1.0
-245.0 	 400.0 	 1.0
-254.0 	 390.0 	 1.0
-265.0 	 401.0 	 1.0
-278.0 	 409.0 	 1.0
-292.0 	 413.0 	 1.0
-301.0 	 414.0 	 1.0
-310.0 	 412.0 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
37 	 38 	 1.0
38 	 39 	 1.0
39 	 40 	 1.0
40 	 41 	 1.0
41 	 42 	 1.0
42 	 43 	 1.0
43 	 44 	 1.0
44 	 45 	 1.0
45 	 46 	 1.0
46 	 47 	 1.0
