Line:		Auge
-253.03 	 475.72 	 1.0
-265.48 	 465.0 	 1.0
-283.59 	 445.76 	 1.0
-298.3 	 427.09 	 1.0
-312.44 	 407.29 	 1.0
-325.45 	 385.79 	 1.0
-336.77 	 361.46 	 1.0
-346.95 	 335.43 	 1.0
-353.74 	 312.8 	 1.0
-358.84 	 283.38 	 1.0
-358.84 	 257.39 	 1.0
-357.14 	 228.5 	 1.0
-353.74 	 205.87 	 1.0
-349.22 	 184.37 	 1.0
-343.56 	 166.27 	 1.0
-333.94 	 145.33 	 1.0
-326.59 	 130.06 	 1.0
-318.1 	 113.65 	 1.0
-305.94 	 95.59 	 1.0
-290.38 	 71.78 	 1.0
-272.27 	 50.85 	 1.0
-247.94 	 28.21 	 1.0
-226.44 	 49.72 	 1.0
-208.34 	 68.95 	 1.0
-193.06 	 89.32 	 1.0
-181.18 	 110.82 	 1.0
-167.04 	 141.37 	 1.0
-156.29 	 170.23 	 1.0
-151.19 	 193.99 	 1.0
-146.67 	 222.84 	 1.0
-144.6 	 251.7 	 1.0
-145.54 	 276.59 	 1.0
-149.5 	 302.05 	 1.0
-157.98 	 329.5 	 1.0
-165.34 	 351.84 	 1.0
-173.9 	 371.08 	 1.0
-185.71 	 392.58 	 1.0
-197.02 	 410.68 	 1.0
-215.69 	 437.27 	 1.0
-227.94 	 451.4 	 1.0
-241.72 	 465.38 	 1.0
-253.03 	 475.72 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
37 	 38 	 1.0
38 	 39 	 1.0
39 	 40 	 1.0
40 	 41 	 1.0
0 	 41 	 1.0
#
Line:		innen
-329.5 	 251.7 	 1.0
-327.72 	 268.34 	 1.0
-323.5 	 281.7 	 1.0
-317.82 	 292.72 	 1.0
-308.1 	 305.3 	 1.0
-296.02 	 315.65 	 1.0
-285.41 	 321.84 	 1.0
-270.36 	 327.24 	 1.0
-254.73 	 329.5 	 1.0
-241.65 	 328.86 	 1.0
-231.08 	 326.73 	 1.0
-217.86 	 321.78 	 1.0
-205.28 	 314.14 	 1.0
-196.64 	 306.67 	 1.0
-188.82 	 297.52 	 1.0
-182.6 	 287.49 	 1.0
-178.07 	 276.89 	 1.0
-174.94 	 264.43 	 1.0
-173.9 	 251.7 	 1.0
-174.95 	 238.87 	 1.0
-178.33 	 225.76 	 1.0
-185.2 	 211.28 	 1.0
-191.55 	 202.34 	 1.0
-200.02 	 193.54 	 1.0
-207.89 	 187.4 	 1.0
-217.29 	 181.9 	 1.0
-228.21 	 177.51 	 1.0
-241.06 	 174.62 	 1.0
-253.6 	 173.9 	 1.0
-264.05 	 174.87 	 1.0
-274.79 	 177.38 	 1.0
-284.76 	 181.25 	 1.0
-294.03 	 186.41 	 1.0
-306.24 	 196.22 	 1.0
-315.1 	 206.59 	 1.0
-323.26 	 221.12 	 1.0
-328.28 	 237.89 	 1.0
-329.5 	 251.7 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
0 	 37 	 1.0
#
End
