Line:		oval
-123.12 	 143.78 	 1.0
-123.29 	 298.41 	 1.0
-123.91 	 307.1 	 1.0
-126.61 	 320.19 	 1.0
-130.27 	 330.83 	 1.0
-134.43 	 339.65 	 1.0
-138.92 	 346.96 	 1.0
-145.9 	 356.27 	 1.0
-151.72 	 361.93 	 1.0
-159.53 	 368.91 	 1.0
-167.68 	 374.56 	 1.0
-175.5 	 378.89 	 1.0
-184.81 	 382.88 	 1.0
-194.28 	 385.87 	 1.0
-205.26 	 387.7 	 1.0
-216.9 	 388.53 	 1.0
-228.04 	 387.87 	 1.0
-241.34 	 385.37 	 1.0
-251.65 	 381.88 	 1.0
-260.29 	 377.89 	 1.0
-268.94 	 372.9 	 1.0
-276.92 	 366.92 	 1.0
-287.56 	 356.44 	 1.0
-293.05 	 349.46 	 1.0
-299.2 	 339.98 	 1.0
-305.69 	 325.35 	 1.0
-308.18 	 315.7 	 1.0
-310.01 	 306.06 	 1.0
-310.67 	 294.75 	 1.0
-310.67 	 143.78 	 1.0
-309.84 	 131.97 	 1.0
-307.68 	 120.0 	 1.0
-303.19 	 107.2 	 1.0
-298.87 	 97.89 	 1.0
-292.88 	 88.58 	 1.0
-284.24 	 78.27 	 1.0
-274.59 	 69.62 	 1.0
-262.12 	 61.31 	 1.0
-249.15 	 55.49 	 1.0
-236.02 	 51.83 	 1.0
-224.21 	 50.17 	 1.0
-210.58 	 50.0 	 1.0
-196.28 	 52.16 	 1.0
-186.63 	 55.16 	 1.0
-175.5 	 59.48 	 1.0
-165.35 	 65.47 	 1.0
-153.71 	 74.61 	 1.0
-144.57 	 84.09 	 1.0
-137.42 	 93.9 	 1.0
-131.43 	 105.54 	 1.0
-127.44 	 115.85 	 1.0
-124.62 	 127.65 	 1.0
-123.45 	 138.13 	 1.0
-123.12 	 143.78 	 1.0
#
0 	 1 	 1.0
1 	 2 	 1.0
2 	 3 	 1.0
3 	 4 	 1.0
4 	 5 	 1.0
5 	 6 	 1.0
6 	 7 	 1.0
7 	 8 	 1.0
8 	 9 	 1.0
9 	 10 	 1.0
10 	 11 	 1.0
11 	 12 	 1.0
12 	 13 	 1.0
13 	 14 	 1.0
14 	 15 	 1.0
15 	 16 	 1.0
16 	 17 	 1.0
17 	 18 	 1.0
18 	 19 	 1.0
19 	 20 	 1.0
20 	 21 	 1.0
21 	 22 	 1.0
22 	 23 	 1.0
23 	 24 	 1.0
24 	 25 	 1.0
25 	 26 	 1.0
26 	 27 	 1.0
27 	 28 	 1.0
28 	 29 	 1.0
29 	 30 	 1.0
30 	 31 	 1.0
31 	 32 	 1.0
32 	 33 	 1.0
33 	 34 	 1.0
34 	 35 	 1.0
35 	 36 	 1.0
36 	 37 	 1.0
37 	 38 	 1.0
38 	 39 	 1.0
39 	 40 	 1.0
40 	 41 	 1.0
41 	 42 	 1.0
42 	 43 	 1.0
43 	 44 	 1.0
44 	 45 	 1.0
45 	 46 	 1.0
46 	 47 	 1.0
47 	 48 	 1.0
48 	 49 	 1.0
49 	 50 	 1.0
50 	 51 	 1.0
51 	 52 	 1.0
52 	 53 	 1.0
0 	 53 	 1.0
#
End
